StateIndex 	 StateName
11	((0,2;0,1.1,0),out2)
144	((0,1.0,2.1,0;0,1.0,2.1,0),in1)
16	((0,1;1,1),out1)
37	((0,1;0,1.1,0),in2)
25	((0,2;1,1.1,2),in1)
27	(0,1;0,1.0,2.1,0)
116	((1,2;1,1),in2)
156	((0,1.0,2.1,0;1,1.1,2),out2)
49	((0,1;0,0),in2)
83	((1,1;0,0),in2)
141	((0,1.0,2.1,0;0,0),out1)
22	((0,1;1,2),out1)
132	(0,1.0,2.1,0;0,1.1,0)
1	((0,0;0,0),in1)
33	((0,2;0,0),out2)
165	((1,1;1,1.1,2),in2)
106	((1,1.1,2;0,1.0,2.1,0),out2)
125	(1,2;0,1.0,2.1,0)
135	(0,1.0,2.1,0;1,1)
121	(1,2;1,1.1,2)
139	((0,1.0,2.1,0;1,1),out2)
161	((0,1.0,2.1,0;1,2),out2)
46	((0,2;0,1.0,2.1,0),out2)
126	((1,2;0,1.0,2.1,0),out1)
0	(0,0;0,0)
155	((0,1.0,2.1,0;1,1.1,2),in2)
15	((0,1;1,1),in1)
164	((1,1;1,1.1,2),out1)
130	((1,2;0,0),in2)
146	((0,1.0,2.1,0;0,1.0,2.1,0),in2)
66	((0,1.1,0;1,2),in2)
62	((0,0;1,1),in1)
166	((1,1;0,1.1,0),out1)
100	((1,1.1,2;1,1.1,2),out1)
13	(0,1;0,0)
133	(0,1.0,2.1,0;0,1.0,2.1,0)
153	((0,1.0,2.1,0;1,1.1,2),in1)
79	(1,1;1,1.1,2)
102	((1,1.1,2;1,1.1,2),out2)
157	(0,1.0,2.1,0;1,2)
140	((0,1.0,2.1,0;0,0),in1)
159	((0,1.0,2.1,0;1,2),out1)
78	(1,1;0,1.1,0)
114	(1,2;1,1)
128	((1,2;0,1.0,2.1,0),out2)
73	((0,0;1,1.1,2),in1)
98	((1,1.1,2;1,2),in2)
44	(0,2;0,1.0,2.1,0)
151	((0,1.0,2.1,0;0,1.1,0),out2)
152	(0,1.0,2.1,0;1,1.1,2)
50	(0,0;0,1.0,2.1,0)
107	((1,1.1,2;0,0),out1)
38	(0,2;1,1)
160	((0,1.0,2.1,0;1,2),in2)
4	(0,1.1,0;1,1)
32	((0,2;0,0),in1)
162	((1,1;1,1),out1)
170	((1,1;1,2),out1)
64	((0,1.1,0;1,2),in1)
147	((0,1.0,2.1,0;0,1.0,2.1,0),out2)
131	((1,2;0,0),out2)
90	(1,1.1,2;0,0)
6	((0,1.1,0;1,1),out1)
99	((1,1.1,2;1,2),out2)
122	((1,2;1,1.1,2),out1)
65	((0,1.1,0;1,2),out1)
85	(1,2;0,1.1,0)
168	(1,1;0,1.0,2.1,0)
172	((1,1;0,1.0,2.1,0),out1)
40	((0,2;1,1),out2)
8	(0,2;1,2)
74	(0,1.1,0;0,1.0,2.1,0)
84	(1,2;1,2)
94	((1,1.1,2;1,1),out2)
158	((0,1.0,2.1,0;1,2),in1)
17	((0,1;1,1),in2)
9	(0,2;0,1.1,0)
109	((1,1.1,2;0,0),out2)
149	((0,1.0,2.1,0;0,1.1,0),out1)
163	((1,1;1,1),in2)
72	((0,1.1,0;1,1.1,2),in2)
111	((1,1.1,2;0,1.1,0),in2)
21	((0,1;1,2),in1)
63	(0,1.1,0;1,2)
154	((0,1.0,2.1,0;1,1.1,2),out1)
2	(0,1.1,0;1,1.1,2)
24	(0,2;1,1.1,2)
76	((0,1.1,0;0,1.0,2.1,0),out1)
3	(0,1.1,0;0,1.1,0)
145	((0,1.0,2.1,0;0,1.0,2.1,0),out1)
129	((1,2;0,0),out1)
42	((0,1;1,1.1,2),out1)
81	(1,1;0,0)
29	((0,1;0,1.0,2.1,0),out1)
104	((1,1.1,2;0,1.0,2.1,0),out1)
127	((1,2;0,1.0,2.1,0),in2)
118	((1,2;1,2),out1)
43	((0,1;1,1.1,2),in2)
5	((0,1.1,0;1,1),in1)
36	((0,1;0,1.1,0),out1)
92	((1,1.1,2;1,1),out1)
70	((0,1.1,0;1,1.1,2),in1)
55	((0,1.1,0;0,0),out1)
82	((1,1;0,0),out1)
57	((0,0;0,1.0,2.1,0),in1)
69	((0,0;1,2),in1)
108	((1,1.1,2;0,0),in2)
52	((0,0;0,1.1,0),in1)
23	((0,1;1,2),in2)
120	((1,2;1,2),out2)
112	((1,1.1,2;0,1.1,0),out2)
171	((1,1;1,2),in2)
12	(0,1;1,1.1,2)
20	(0,1;1,2)
86	((1,2;0,1.1,0),out1)
134	(0,1.0,2.1,0;0,0)
28	((0,1;0,1.0,2.1,0),in1)
117	((1,2;1,1),out2)
41	((0,1;1,1.1,2),in1)
61	(0,0;1,1)
93	((1,1.1,2;1,1),in2)
7	((0,1.1,0;1,1),in2)
103	(1,1.1,2;0,1.0,2.1,0)
173	((1,1;0,1.0,2.1,0),in2)
71	((0,1.1,0;1,1.1,2),out1)
96	(1,1.1,2;1,2)
59	((0,1.1,0;0,1.1,0),out1)
110	((1,1.1,2;0,1.1,0),out1)
138	((0,1.0,2.1,0;1,1),in2)
45	((0,2;0,1.0,2.1,0),in1)
167	((1,1;0,1.1,0),in2)
14	(0,1;1,1)
95	(1,1.1,2;0,1.1,0)
119	((1,2;1,2),in2)
60	((0,1.1,0;0,1.1,0),in2)
67	(0,0;1,1.1,2)
88	((1,2;0,1.1,0),out2)
51	(0,0;0,1.1,0)
56	((0,1.1,0;0,0),in2)
115	((1,2;1,1),out1)
97	((1,1.1,2;1,2),out1)
123	((1,2;1,1.1,2),in2)
124	((1,2;1,1.1,2),out2)
91	(1,1.1,2;1,1)
26	((0,2;1,1.1,2),out2)
87	((1,2;0,1.1,0),in2)
113	(1,2;0,0)
31	(0,2;0,0)
53	(0,1.1,0;0,0)
18	((0,2;1,2),in1)
105	((1,1.1,2;0,1.0,2.1,0),in2)
34	(0,1;0,1.1,0)
136	((0,1.0,2.1,0;1,1),in1)
77	((0,1.1,0;0,1.0,2.1,0),in2)
89	(1,1.1,2;1,1.1,2)
150	((0,1.0,2.1,0;0,1.1,0),in2)
58	((0,1.1,0;0,1.1,0),in1)
54	((0,1.1,0;0,0),in1)
142	((0,1.0,2.1,0;0,0),in2)
19	((0,2;1,2),out2)
10	((0,2;0,1.1,0),in1)
39	((0,2;1,1),in1)
35	((0,1;0,1.1,0),in1)
101	((1,1.1,2;1,1.1,2),in2)
47	((0,1;0,0),in1)
143	((0,1.0,2.1,0;0,0),out2)
75	((0,1.1,0;0,1.0,2.1,0),in1)
148	((0,1.0,2.1,0;0,1.1,0),in1)
169	(1,1;1,2)
80	(1,1;1,1)
30	((0,1;0,1.0,2.1,0),in2)
48	((0,1;0,0),out1)
68	(0,0;1,2)
137	((0,1.0,2.1,0;1,1),out1)
