StateIndex 	 StateName
17	(1,1.1,2;1,1)
39	(0,2;0,1.0,2.1,0)
24	(0,1.0,2.1,0;1,1.1,2)
41	(0,0;0,1.0,2.1,0)
5	(0,2;1,1)
13	(1,2;0,0)
7	(0,2;0,0)
10	(0,1.1,0;1,1)
40	(0,1;0,1.0,2.1,0)
1	(0,1.1,0;0,0)
18	(0,1;0,1.1,0)
32	(0,1.0,2.1,0;0,1.1,0)
38	(0,1;1,1.1,2)
27	(1,1.1,2;1,1.1,2)
16	(1,1.1,2;0,0)
37	(0,1;1,2)
31	(0,1.0,2.1,0;0,0)
14	(1,2;0,1.1,0)
42	(1,1;0,1.0,2.1,0)
28	(1,2;0,1.0,2.1,0)
33	(0,1.0,2.1,0;1,1)
4	(0,0;1,1)
25	(1,2;1,1.1,2)
21	(1,2;1,2)
22	(0,2;1,2)
47	(0,1.1,0;0,1.0,2.1,0)
29	(1,1.1,2;0,1.0,2.1,0)
0	(0,0;0,0)
9	(0,2;0,1.1,0)
23	(1,1.1,2;1,2)
45	(0,1.1,0;1,2)
46	(0,1.1,0;1,1.1,2)
35	(0,2;1,1.1,2)
19	(0,1;0,0)
3	(0,1.1,0;0,1.1,0)
15	(1,1.1,2;0,1.1,0)
20	(0,1;1,1)
44	(1,1;1,2)
11	(1,1;1,1)
34	(0,0;1,1.1,2)
30	(0,1.0,2.1,0;0,1.0,2.1,0)
6	(1,1;0,0)
43	(1,1;1,1.1,2)
2	(0,0;0,1.1,0)
26	(0,1.0,2.1,0;1,2)
8	(1,1;0,1.1,0)
12	(1,2;1,1)
36	(0,0;1,2)
